,login,reponum,code,star,commit,Objective-C,Clojure,Java,Go,JavaScript,Swift
0,CarlRosell,8,22944,5,123,0,0,0,0,3253,0
0,Cerberus,12,137165,134,408,0,0,0,0,1122906,0
0,cmann50,0,0,0,0,0,0,0,0,0,0
0,sturgill,6,24123,4,330,0,0,0,0,0,0
0,cjwooo,2,123,0,3,0,0,0,0,0,0
0,c-oreills,46,674513,62,1414,0,0,0,0,0,0
0,pygeek,9,4139,4,79,0,0,0,0,0,0
0,dakshshah96,21,236649,2983,919,0,0,0,0,76701,0
0,dleve123,12,190616,1,588,0,0,0,0,10366,0
0,deecewan,47,250410,64,735,12297,0,0,0,0,0
0,davidszkiba,2,2203,1,18,0,0,0,0,0,0
0,diwu1989,26,665476,18,887,0,0,0,0,0,0
0,diegmonti,6,10400,8,112,0,0,0,0,0,0
0,rubiagatra,72,666236,169,445,38,0,0,0,0,0
0,druwynings,1,1269,1,4,0,0,0,0,878,0
0,dylburger,78,225079,154,1230,0,0,0,0,0,0
0,etlweather,7,17479,111,154,0,0,0,0,0,0
0,erp12,36,277192,116,913,0,0,0,0,0,0
0,edenzik,38,1450525,27,1691,503598,0,307562,0,0,0
0,elarouche,0,0,0,0,0,0,0,0,0,0
0,emurphy,13,159466,8,515,0,0,0,0,0,0
0,ericdallo,51,631307,153,1680,111,0,40406,0,0,0
0,etiennecallies,1,865,0,13,0,0,0,0,0,0
0,ekalinin,41,1728284,7897,3571,0,0,0,0,0,0
0,facundofarias,12,1875372,1185,389,0,0,0,0,1112160,0
0,frankzhao,24,120927,8,995,0,0,0,0,0,0
0,argvader,13,18329,1,55,0,0,0,0,0,0
0,marketingnerds,1,778,0,10,0,0,0,0,0,0
0,GuiSim,7,17879,7,314,0,0,0,0,313063,0
0,hkothari,1,134,1,1,0,0,0,0,0,0
0,haydn,9,249240,30,143,0,0,0,0,15552,0
0,hhfa1990,5,51449,6,56,0,0,0,0,429,0
0,HugoCornu,2,11906,0,8,0,0,0,0,0,0
0,hgwood,47,2168703,88,2362,0,0,107675,0,0,0
0,halves-ubiwhere,0,0,0,0,0,0,0,0,0,0
0,ifosch,31,94870,95,797,0,0,0,0,39181,0
0,jc-louis,0,0,0,0,0,0,0,0,0,0
0,jacobfrackson,2,2894,0,3,0,0,0,0,4827,0
0,jestan,9,8706,65,177,0,0,0,0,0,0
0,jimmy-outschool,3,41,0,4,0,0,0,0,0,0
0,jodok,5,14984,0,15,0,0,0,0,156889,0
0,joeirimpan,33,164010,58,827,0,0,0,0,0,0
0,wjoel,19,8030,74,182,0,0,0,0,0,0
0,johnbacon,5,14072,6,281,0,0,0,0,0,0
0,joneath,23,384756,181,633,0,0,0,0,0,0
0,josegonzalez,106,351262,2687,8443,0,0,0,0,0,0
0,jgoux,10,16201,193,134,0,0,0,0,32597,0
0,u2mejc,4,287,5,13,0,0,0,0,0,0
0,perrinjerome,20,1237800,15,525,0,0,0,0,0,0
0,kkalyan,8,1029769,0,13,0,0,15316,0,0,0
0,gkarthiks,74,5361382,113,1553,0,0,3668,0,0,0
0,khtdr,18,215875,106,1203,0,0,0,0,384084,0
0,kgeis,0,0,0,0,0,0,0,0,0,0
0,thisiskj,8,55116,28,136,0,0,0,0,15970,0
